YEAR,STATE,TopicDesc,MeasureDesc,Smoke_Rate,Data_Value_Std_Err,Sample_Size,Gender,Education,lat,lng,HEART_DISEASE_RATE,HEART_DISEASE_DEATHS,OVERDOSE_RATE,OVERDOSE_DEATHS,SREOKE_RATE,STROKE_DEATHS,CANCER_RATE,CANCER_DEATHS
2014,AL,Cessation (Youth),Percent of Current Smokers Who Want to Quit,47.3,5.6,176.0,Overall,High School,32.840571122, -86.631860762,224.0,"12,461",15.2,723.0,48.3,"2,663",177.6,"10,286"
2014,AL,Cessation (Youth),Percent of Current Smokers Who Want to Quit,43.0,6.3,50.0,Female,Middle School,32.840571122, -86.631860762,224.0,"12,461",15.2,723.0,48.3,"2,663",177.6,"10,286"
2014,AL,Cessation (Youth),Percent of Current Smokers Who Want to Quit,42.3,6.8,73.0,Female,High School,32.840571122, -86.631860762,224.0,"12,461",15.2,723.0,48.3,"2,663",177.6,"10,286"
2014,AL,Cessation (Youth),Percent of Current Smokers Who Want to Quit,50.7,6.6,103.0,Male,High School,32.840571122, -86.631860762,224.0,"12,461",15.2,723.0,48.3,"2,663",177.6,"10,286"
2014,AL,Cessation (Youth),Percent of Current Smokers Who Want to Quit,41.0,6.4,75.0,Overall,Middle School,32.840571122, -86.631860762,224.0,"12,461",15.2,723.0,48.3,"2,663",177.6,"10,286"
2014,AL,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,66.9,5.9,85.0,Overall,Middle School,32.840571122, -86.631860762,224.0,"12,461",15.2,723.0,48.3,"2,663",177.6,"10,286"
2014,AL,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,58.9,3.9,117.0,Male,High School,32.840571122, -86.631860762,224.0,"12,461",15.2,723.0,48.3,"2,663",177.6,"10,286"
2014,AL,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,58.0,3.9,203.0,Overall,High School,32.840571122, -86.631860762,224.0,"12,461",15.2,723.0,48.3,"2,663",177.6,"10,286"
2014,AL,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,71.9,4.8,59.0,Female,Middle School,32.840571122, -86.631860762,224.0,"12,461",15.2,723.0,48.3,"2,663",177.6,"10,286"
2014,AL,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,56.7,6.2,86.0,Female,High School,32.840571122, -86.631860762,224.0,"12,461",15.2,723.0,48.3,"2,663",177.6,"10,286"
2014,AL,Cigarette Use (Youth),Smoking Status,7.0,1.8,656.0,Male,High School,32.840571122, -86.631860762,224.0,"12,461",15.2,723.0,48.3,"2,663",177.6,"10,286"
2014,AL,Cigarette Use (Youth),Smoking Status,4.9,1.0,626.0,Male,Middle School,32.840571122, -86.631860762,224.0,"12,461",15.2,723.0,48.3,"2,663",177.6,"10,286"
